character,category,base_species,species_id,keep(Y/n)
Aaron,elite4,SPECIES_CARNIVINE,PENDING_PHASE1,Y
Aaron,elite4,SPECIES_CLEFFA,PENDING_PHASE1,Y
Aaron,elite4,SPECIES_COMBEE,PENDING_PHASE1,Y
Aaron,elite4,SPECIES_GIBLE,PENDING_PHASE1,Y
Aaron,elite4,SPECIES_HEATRAN,PENDING_PHASE1,Y
Aaron,elite4,SPECIES_HERACROSS,PENDING_PHASE1,Y
Aaron,elite4,SPECIES_LICKITUNG,PENDING_PHASE1,Y
Aaron,elite4,SPECIES_SCYTHER,PENDING_PHASE1,Y
Aaron,elite4,SPECIES_SEVIPER,PENDING_PHASE1,Y
Aaron,elite4,SPECIES_SHELLOS_WEST,PENDING_PHASE1,Y
Aaron,elite4,SPECIES_SKORUPI,PENDING_PHASE1,Y
Aaron,elite4,SPECIES_STUNKY,PENDING_PHASE1,Y
Aaron,elite4,SPECIES_TRAPINCH,PENDING_PHASE1,Y
Aaron,elite4,SPECIES_WURMPLE,PENDING_PHASE1,Y
Aaron,elite4,SPECIES_YANMA,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_CELESTEELA,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_COSMOG,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_CUBONE,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_DHELMISE,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_DRIFLOON,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_FRILLISH,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_GASTLY,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_GUZZLORD,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_KARTANA,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_MEOWTH,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_MIMIKYU_DISGUISED,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_MISDREAVUS,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_MUDBRAY,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_NECROZMA,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_PHEROMOSA,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_SABLEYE,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_SANDILE,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_SANDYGAST,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_SHUPPET,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_SNORUNT,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_TAPU_BULU,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_TAPU_LELE,PENDING_PHASE1,Y
Acerola,elite4,SPECIES_TYPE_NULL,PENDING_PHASE1,Y
Agatha,elite4,SPECIES_ABRA,PENDING_PHASE1,Y
Agatha,elite4,SPECIES_BULBASAUR,PENDING_PHASE1,Y
Agatha,elite4,SPECIES_CACNEA,PENDING_PHASE1,Y
Agatha,elite4,SPECIES_CHARMANDER,PENDING_PHASE1,Y
Agatha,elite4,SPECIES_CLEFFA,PENDING_PHASE1,Y
Agatha,elite4,SPECIES_CUBONE,PENDING_PHASE1,Y
Agatha,elite4,SPECIES_DODUO,PENDING_PHASE1,Y
Agatha,elite4,SPECIES_EKANS,PENDING_PHASE1,Y
Agatha,elite4,SPECIES_GASTLY,PENDING_PHASE1,Y
Agatha,elite4,SPECIES_GRIMER,PENDING_PHASE1,Y
Agatha,elite4,SPECIES_KOFFING,PENDING_PHASE1,Y
Agatha,elite4,SPECIES_MAGIKARP,PENDING_PHASE1,Y
Agatha,elite4,SPECIES_MISDREAVUS,PENDING_PHASE1,Y
